asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
299551,13.86,0.0063,1.47,2.222,0.0625,332.94,0.0739,-8.7,5,50
299552,14.09,0.0552,11.3,2.441,0.0792,364.32,0.0816,-13.05,5,5
299572,12.7,0.1067,23.23,2.293,0.0426,346.23,0.3116,-16.81,5,5
299575,13.6,0.0568,11.74,2.415,0.0504,359.61,0.1621,-10.95,5,5
300242,14.3,0.0081,1.66,0.466,0.1586,339.53,0.1517,-15.71,5,5
300244,14.21,0.079,16.81,2.346,0.1116,331.91,0.3088,-15.46,5,50
300249,14.05,0.0638,13.21,2.41,0.0329,364.68,0.1467,-11.47,5,5
300250,13.08,0.0941,19.81,2.372,0.009,372.55,0.1511,-16.18,5,5
300991,14.13,0.0332,6.66,2.491,0.1611,346.42,0.0902,-18.0,5,5
300993,13.13,0.0709,14.86,2.384,0.1111,341.33,0.257,-15.22,5,5
300999,13.71,0.0669,14.03,2.381,0.04,352.16,0.2328,-10.86,5,5
301000,14.04,0.0341,6.95,2.451,0.0754,359.24,0.0876,-10.66,5,5
301002,13.48,0.0143,2.68,2.038,0.1503,331.39,0.2278,-13.69,5,5
301005,13.45,0.0582,12.57,2.312,0.0507,313.2,0.3853,-6.69,5,5
301007,13.81,0.0422,8.96,2.35,0.0499,323.39,0.3389,-6.18,5,5
301008,14.04,0.0424,8.77,2.415,0.0209,355.09,0.1789,-8.45,5,5
301009,14.13,0.053,10.85,2.44,0.0658,365.64,0.0709,-12.06,5,5
301010,13.44,0.1105,25.18,2.191,0.0271,292.25,0.4618,-12.76,5,5
301012,13.88,0.0571,11.76,2.425,0.0304,367.3,0.0989,-11.02,5,5
301013,13.36,0.1043,22.03,2.363,0.0356,136.46,0.1218,-19.12,5,50
301018,13.55,0.1326,28.66,2.309,0.0448,267.16,0.0775,-28.22,4,50
301037,13.0,0.0171,3.52,2.423,0.1,337.68,0.2339,-9.36,4,5
301579,13.34,0.0531,10.87,2.443,0.0745,365.01,0.0683,-12.57,4,5
301580,13.07,0.0979,20.78,2.351,0.0299,369.46,0.2068,-16.56,4,5
301753,14.1,0.0742,15.51,2.391,0.0147,365.28,0.1753,-12.3,5,5
301760,12.93,0.0757,16.19,2.334,0.0828,329.38,0.3283,-12.23,5,5
301944,13.23,0.0446,9.7,2.294,0.0944,294.38,0.4319,-6.05,4,5
303999,13.37,0.0572,12.16,2.347,0.0554,328.18,0.3278,-8.18,5,5
304770,12.8,0.0636,14.25,2.226,0.0311,4.64,0.498,-3.2,5,50
304773,13.61,0.0855,17.78,2.402,0.0581,376.89,0.0987,-16.53,5,5
304774,13.83,0.1154,25.25,2.283,0.028,4.25,0.2929,-18.59,5,50
305544,13.21,0.0643,13.52,2.374,0.0997,335.74,0.2831,-12.66,4,5
306000,13.01,0.0752,15.68,2.394,0.0077,343.63,0.1576,-12.62,4,5
306001,13.06,0.0396,8.08,2.451,0.1182,349.32,0.1531,-13.51,4,5
306003,13.54,0.0327,6.65,2.456,0.1,354.53,0.1122,-11.94,4,5
306177,13.29,0.0685,14.25,2.4,0.0384,362.95,0.1707,-12.01,4,5
306178,13.57,0.1032,21.81,2.362,0.1037,366.18,0.1954,-22.48,4,50
306179,13.99,0.0418,8.57,2.438,0.0493,361.83,0.1022,-9.96,4,5
306200,13.55,0.0851,17.79,2.389,0.0572,370.1,0.1566,-15.75,5,5
306753,13.61,0.0869,18.15,2.391,0.0445,375.53,0.1288,-15.87,4,5
307560,13.41,0.1008,21.44,2.347,0.0372,369.83,0.2095,-17.37,4,5
307569,13.08,0.0411,8.46,2.428,0.0376,358.95,0.139,-9.17,4,5
308314,12.89,0.0494,10.56,2.333,0.0798,314.85,0.3673,-7.48,4,5
308660,13.52,0.0346,7.33,2.357,0.0152,326.38,0.3277,-5.09,5,5
309707,12.18,0.1227,29.68,2.063,0.043,170.04,0.586,-11.11,4,50
309733,14.03,0.0332,6.82,2.43,0.0195,358.19,0.1373,-8.2,4,5
309735,13.75,0.0298,6.13,2.433,0.0461,355.61,0.1464,-8.52,4,5
310005,12.21,0.0733,17.1,2.14,0.028,238.99,0.5874,-1.44,4,5
310016,13.79,0.0495,10.06,2.455,0.0987,361.71,0.0584,-13.83,5,5
310022,14.1,0.1093,23.11,2.36,0.0385,187.85,0.092,-20.75,4,50
310025,13.15,0.0259,5.3,2.436,0.1161,340.25,0.2097,-11.42,4,5
310027,12.94,0.0097,2.02,2.405,0.0637,338.47,0.2467,-6.89,4,5
310047,12.96,0.0245,5.23,2.341,0.053,314.22,0.3679,-4.4,5,5
310103,13.46,0.0982,20.56,2.385,0.0487,287.77,0.0678,-18.71,4,50
