asteroid_number,H_mag,status,family1,dv_fam1,near1,family2,dv_fam2,near2,rescod
1605,10.19,3,221,0.0,0,0,0.0,0,0
1609,10.54,3,194,0.0,0,0,0.0,0,0
1611,11.69,3,10,0.0,0,0,0.0,0,0
1613,11.55,3,410,0.0,0,0,0.0,0,0
1615,11.27,3,24,0.0,0,0,0.0,0,0
1618,11.06,3,158,0.0,0,0,0.0,0,0
1623,11.19,3,24,0.0,0,0,0.0,0,0
1624,11.27,3,24,0.0,0,0,0.0,0,0
1633,10.69,3,24,0.0,0,0,0.0,0,5-2-2
1635,10.97,3,158,0.0,0,0,0.0,0,0
1641,10.36,3,221,0.0,0,0,0.0,0,0
1649,11.94,3,221,0.0,0,0,0.0,0,0
1654,10.6,3,221,0.0,0,0,0.0,0,8-3-3
1657,12.67,3,25,0.0,0,0,0.0,0,0
1658,11.4,3,1658,0.0,0,0,0.0,0,7-3-2
1662,11.65,3,808,0.0,0,0,0.0,0,0
1669,10.7,3,24,0.0,0,0,0.0,0,0
1671,12.18,3,5,0.0,0,0,0.0,0,0
1674,11.21,3,24,0.0,0,0,0.0,0,0
1677,11.61,3,170,0.0,0,0,0.0,0,0
1684,10.85,3,24,0.0,0,0,0.0,0,0
1686,11.0,3,24,0.0,0,0,0.0,0,0
1687,10.53,3,24,0.0,0,0,0.0,0,0
1691,10.82,3,24,0.0,0,0,0.0,0,0
1698,11.25,3,24,0.0,0,0,0.0,0,0
1711,10.76,3,221,0.0,0,0,0.0,0,0
1723,9.97,3,221,0.0,0,0,0.0,0,0
1725,11.24,3,158,0.0,0,0,0.0,0,8-2-3
1726,12.19,3,1726,0.0,0,0,0.0,0,0
1732,10.73,3,221,0.0,0,0,0.0,0,0
1734,11.61,3,668,0.0,0,0,0.0,0,0
1737,10.99,3,221,0.0,0,0,0.0,0,0
1741,11.39,3,158,0.0,0,0,0.0,0,0
1742,11.15,3,158,0.0,0,0,0.0,0,0
1745,11.87,3,158,0.0,0,0,0.0,0,0
1751,11.86,3,93,0.0,0,0,0.0,0,0
1753,10.95,3,221,0.0,0,0,0.0,0,0
1755,10.73,3,221,0.0,0,0,0.0,0,0
1758,11.09,3,221,0.0,0,0,0.0,0,0
1762,11.28,3,158,0.0,0,0,0.0,0,0
1764,11.27,3,24,0.0,0,0,0.0,0,0
1766,12.29,3,110,0.0,0,0,0.0,0,0
1767,11.59,3,221,0.0,0,0,0.0,0,0
1768,12.52,3,135,0.0,0,0,0.0,0,0
1774,12.06,3,158,0.0,0,0,0.0,0,0
1775,11.98,3,15,0.0,0,0,0.0,0,0
1778,11.7,3,24,0.0,0,0,0.0,0,0
1780,10.52,3,221,0.0,0,0,0.0,0,0
1782,11.66,3,24,0.0,0,0,0.0,0,0
1783,11.87,3,145,0.0,0,0,0.0,0,0
1786,10.9,3,221,0.0,0,0,0.0,0,0
1787,11.18,3,221,0.0,0,0,0.0,0,0
1788,11.74,3,24,0.0,0,0,0.0,0,0
1795,12.03,3,668,0.0,0,0,0.0,0,0
1799,11.19,3,221,0.0,0,0,0.0,0,0
1801,11.08,3,221,0.0,0,0,0.0,0,0
1802,11.56,3,158,0.0,0,0,0.0,0,0
1803,12.09,3,25,0.0,0,0,0.0,0,0
1805,11.4,3,24,0.0,0,0,0.0,0,0
1809,11.64,3,158,0.0,0,0,0.0,0,0
1812,11.42,3,221,0.0,0,0,0.0,0,0
1816,11.71,3,25,0.0,0,0,0.0,0,0
1824,11.29,3,158,0.0,0,0,0.0,0,0
1826,11.04,3,221,0.0,0,0,0.0,0,0
1832,11.21,3,375,0.0,0,0,0.0,0,0
1834,11.14,3,221,0.0,0,0,0.0,0,0
1835,11.63,3,158,0.0,0,0,0.0,0,0
1836,12.04,3,668,0.0,0,0,0.0,0,0
1839,11.94,3,93,0.0,0,0,0.0,0,0
1840,11.64,3,158,0.0,0,0,0.0,0,0
1844,10.8,3,221,0.0,0,0,0.0,0,8-3-3
1845,11.12,3,221,0.0,0,0,0.0,0,0
1848,10.95,3,158,0.0,0,0,0.0,0,0
1849,11.32,3,221,0.0,0,0,0.0,0,0
1851,12.55,3,24,0.0,0,0,0.0,0,0
1852,11.21,3,221,0.0,0,0,0.0,0,0
1861,11.62,3,221,0.0,0,0,0.0,0,0
1878,11.71,3,158,0.0,0,0,0.0,0,0
1882,11.37,3,221,0.0,0,0,0.0,0,0
1886,12.04,3,15,0.0,0,0,0.0,0,0
1887,10.96,3,221,0.0,0,0,0.0,0,0
1888,11.8,3,5,0.0,0,0,0.0,0,0
1894,12.03,3,158,0.0,0,0,0.0,0,0
1895,12.14,3,24,0.0,0,0,0.0,0,0
1896,13.73,3,135,0.0,0,0,0.0,0,0
1898,12.24,3,24,0.0,0,0,0.0,0,0
1903,10.55,3,221,0.0,0,0,0.0,0,0
1906,12.46,3,4,0.0,0,0,0.0,0,0
1910,11.44,3,221,0.0,0,0,0.0,0,0
1911,9.97,3,1911,0.0,0,0,0.0,0,3/2J
1912,11.78,3,158,0.0,0,0,0.0,0,8-2-3
1913,11.49,3,158,0.0,0,0,0.0,0,0
1919,13.5,3,434,0.0,0,0,0.0,0,0
1920,13.93,3,434,0.0,0,0,0.0,0,0
1926,10.9,3,15,0.0,0,0,0.0,0,0
1927,11.87,3,15,0.0,0,0,0.0,0,0
1932,13.57,3,135,0.0,0,0,0.0,0,0
1933,12.9,3,4,0.0,0,0,0.0,0,0
1936,11.57,3,145,0.0,0,0,0.0,0,0
1939,11.0,3,24,0.0,0,0,0.0,0,0
1941,11.66,3,1911,0.0,0,0,0.0,0,3/2J
1942,13.01,3,25,0.0,0,0,0.0,0,0
1947,11.3,3,221,0.0,0,0,0.0,0,0
1953,11.84,3,24,0.0,0,0,0.0,0,0
1955,12.01,3,158,0.0,0,0,0.0,0,0
1956,12.0,3,24,0.0,0,0,0.0,0,0
1957,11.16,3,221,0.0,0,0,0.0,0,0
1959,12.74,3,4,0.0,0,0,0.0,0,0
1961,10.68,3,1298,0.0,0,0,0.0,0,0
1970,12.19,3,668,0.0,0,0,0.0,0,0
1971,12.3,3,221,0.0,0,0,0.0,0,0
1979,13.5,3,4,0.0,0,0,0.0,0,0
1986,11.98,3,24,0.0,0,0,0.0,0,0
1987,11.51,3,25,0.0,0,0,0.0,0,0
1992,12.59,3,221,0.0,0,0,0.0,0,0
1994,12.22,3,145,0.0,0,0,0.0,0,0
1996,11.58,3,170,0.0,0,0,0.0,0,0
2005,12.05,3,15,0.0,0,0,0.0,0,0
2007,12.14,1,135,0.0,0,0,0.0,0,0
2009,11.16,3,24,0.0,0,0,0.0,0,0
2010,11.48,3,24,0.0,0,0,0.0,0,0
2011,12.83,3,4,0.0,0,0,0.0,0,0
2016,11.79,3,24,0.0,0,0,0.0,0,0
2020,11.33,3,221,0.0,0,0,0.0,0,0
2024,12.82,3,4,0.0,0,0,0.0,0,0
2026,12.82,3,135,0.0,0,0,0.0,0,0
2027,11.31,3,221,0.0,0,0,0.0,0,0
2029,12.92,3,4,0.0,0,0,0.0,0,0
2039,12.52,3,24,0.0,0,0,0.0,0,5-2-2
2042,12.62,3,808,0.0,0,0,0.0,0,3-1-1
2045,12.1,3,4,0.0,0,0,0.0,0,0
2046,11.43,3,24,0.0,0,0,0.0,0,0
2051,11.56,3,158,0.0,0,0,0.0,0,0
2052,10.7,3,221,0.0,0,0,0.0,0,0
2053,11.74,3,93,0.0,0,0,0.0,0,0
2058,11.39,3,24,0.0,0,0,0.0,0,0
2076,13.96,3,2076,0.0,0,0,0.0,0,0
2079,12.48,3,15,0.0,0,0,0.0,0,0
2081,12.28,3,135,0.0,0,0,0.0,0,0
2091,10.57,3,221,0.0,0,0,0.0,0,0
2092,11.86,3,158,0.0,0,0,0.0,0,0
2093,12.89,3,298,0.0,0,0,0.0,0,0
2094,12.1,3,883,0.0,0,0,0.0,0,0
2111,10.71,3,221,0.0,0,0,0.0,0,0
2114,11.77,3,24,0.0,0,0,0.0,0,0
2115,11.15,3,221,0.0,0,0,0.0,0,0
2117,11.74,3,158,0.0,0,0,0.0,0,0
2123,11.55,3,158,0.0,0,0,0.0,0,0
2124,11.71,3,221,0.0,0,0,0.0,0,0
2130,13.03,3,883,0.0,0,0,0.0,0,0
2136,11.26,3,221,0.0,0,0,0.0,0,0
2139,12.7,3,135,0.0,0,0,0.0,0,0
2142,11.91,3,24,0.0,0,0,0.0,0,5-2-2
2144,11.28,3,158,0.0,0,0,0.0,0,0
2147,11.85,3,490,0.0,0,0,0.0,0,0
2151,11.03,3,170,0.0,0,0,0.0,0,0
2153,11.92,3,24,0.0,0,0,0.0,0,0
2155,12.26,3,158,0.0,0,0,0.0,0,0
2157,11.91,3,93,0.0,0,0,0.0,0,0
2160,12.09,3,158,0.0,0,0,0.0,0,0
2163,11.66,3,24,0.0,0,0,0.0,0,0
2164,11.8,3,24,0.0,0,0,0.0,0,5-2-2
2165,11.37,3,24,0.0,0,0,0.0,0,0
2169,12.49,1,1128,0.0,0,0,0.0,0,0
2176,12.09,3,158,0.0,0,0,0.0,0,0
2179,11.08,3,221,0.0,0,0,0.0,0,0
2180,11.06,3,221,0.0,0,0,0.0,0,0
2181,11.96,3,15,0.0,0,0,0.0,0,0
2182,11.55,3,24,0.0,0,0,0.0,0,0
2188,11.65,3,158,0.0,0,0,0.0,0,0
2191,11.29,3,221,0.0,0,0,0.0,0,0
2197,11.42,3,24,0.0,0,0,0.0,0,0
2198,14.33,3,5,0.0,0,0,0.0,0,0
2203,11.57,3,24,0.0,0,0,0.0,0,0
2206,11.15,3,221,0.0,0,0,0.0,0,0
2209,11.15,3,158,0.0,0,0,0.0,0,0
2210,13.85,3,135,0.0,0,0,0.0,0,0
2211,12.04,3,375,0.0,0,0,0.0,0,0
2216,11.18,3,221,0.0,0,0,0.0,0,0
2217,11.29,3,24,0.0,0,0,0.0,0,0
2220,12.16,3,24,0.0,0,0,0.0,0,0
2221,12.47,3,170,0.0,0,0,0.0,0,0
2222,11.29,3,24,0.0,0,0,0.0,0,0
2224,11.92,3,158,0.0,0,0,0.0,0,0
2225,11.92,3,158,0.0,0,0,0.0,0,0
2226,11.71,3,158,0.0,0,0,0.0,0,0
2228,11.44,3,24,0.0,0,0,0.0,0,0
2230,11.88,3,158,0.0,0,0,0.0,0,0
2237,11.88,3,24,0.0,0,0,0.0,0,0
2240,11.79,3,24,0.0,0,0,0.0,0,0
2248,11.34,3,24,0.0,0,0,0.0,0,0
2250,11.84,3,24,0.0,0,0,0.0,0,5-2-2
2252,12.47,3,5,0.0,0,0,0.0,0,0
2256,12.04,3,24,0.0,0,0,0.0,0,0
2261,12.71,3,25,0.0,0,0,0.0,0,0
2263,11.16,3,221,0.0,0,0,0.0,0,0
